Tarih,Sube,Musteri_ID,Urun_Kategorisi,Urun_Adi,Miktar,Birim_Fiyat,Toplam_Tutar,Musteri_Tipi,Odeme_Yontemi
2024-01-02,Şişli,M0086,İçecek,Sıcak Çikolata,9,71.83,646.47,Misafir,Yemek Kartı
2024-01-04,Kadıköy,M0024,Kurabiye,Beyaz Çikolatalı,7,25.92,163.3,Üye,Kredi Kartı
2024-01-04,Kadıköy,M0002,İçecek,Latte,6,81.71,441.23,Üye,Yemek Kartı
2024-01-05,Kadıköy,M0169,Kek,Limonlu Kek,6,94.83,568.98,Misafir,Yemek Kartı
2024-01-06,Beşiktaş,M0198,İçecek,Latte,9,83.23,749.07,Misafir,Kredi Kartı
2024-01-08,Kadıköy,M0087,Dondurma,Meyveli Bardak,3,60.55,181.65,Misafir,Yemek Kartı
2024-01-08,Şişli,M0023,İçecek,Latte,8,91.39,731.12,Misafir,Yemek Kartı
2024-01-09,Kadıköy,M0122,İçecek,Filtre Kahve,8,57.31,412.63,Üye,Yemek Kartı
2024-01-09,Beşiktaş,M0138,Kek,Çikolatalı Kek,7,110.81,775.67,Misafir,Banka Kartı
2024-01-09,Üsküdar,M0062,Dondurma,Vanilya Cone,2,46.51,83.72,Üye,Kredi Kartı
2024-01-10,Şişli,M0050,İçecek,Latte,7,93.56,654.92,Misafir,Kredi Kartı
2024-01-14,Kadıköy,M0068,Dondurma,Meyveli Bardak,7,72.29,455.43,Üye,Banka Kartı
2024-01-15,Şişli,M0121,Pasta,Tiramisu,3,193.05,579.15,Misafir,Kredi Kartı
2024-01-15,Beşiktaş,M0159,Pasta,Tiramisu,4,220.75,883.0,Misafir,Nakit
2024-01-16,Kadıköy,M0172,Kurabiye,Çikolatalı Kurabiye,3,22.44,67.32,Misafir,Nakit
2024-01-16,Kadıköy,M0061,Kek,Çikolatalı Kek,8,111.4,802.08,Üye,Banka Kartı
2024-01-17,Şişli,M0139,Pasta,Cheesecake,5,275.46,1239.57,Üye,Kredi Kartı
2024-01-17,Şişli,M0096,Dondurma,Vanilya Cone,3,45.14,135.42,Misafir,Yemek Kartı
2024-01-19,Şişli,M0080,Kurabiye,Çikolatalı Kurabiye,4,25.68,102.72,Misafir,Yemek Kartı
2024-01-20,Beşiktaş,M0035,İçecek,Filtre Kahve,6,56.45,338.7,Misafir,Yemek Kartı
2024-01-22,Şişli,M0091,İçecek,Filtre Kahve,5,59.18,266.31,Üye,Yemek Kartı
2024-01-22,Bakırköy,M0147,Pasta,Mille Feuille,2,184.04,368.08,Misafir,Yemek Kartı
2024-01-23,Şişli,M0127,Dondurma,Meyveli Bardak,7,64.91,408.93,Üye,Nakit
2024-01-23,Bakırköy,M0060,İçecek,Latte,6,90.04,540.24,Misafir,Kredi Kartı
2024-01-24,Beşiktaş,M0039,Kurabiye,Beyaz Çikolatalı,6,30.32,181.92,Misafir,Kredi Kartı
2024-01-25,Şişli,M0039,Dondurma,Meyveli Bardak,6,69.25,415.5,Misafir,Banka Kartı
